,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
P2,90.0,15.022222222222222,3.7505888010493504,6.0,12.0,16.0,18.0,20.0,-0.8410533425564031,-0.2970694451854041
P4,90.0,14.044444444444444,3.8157306311750956,5.0,12.0,15.0,17.0,19.0,-0.7807802760667072,-0.34983610211626104
Total,90.0,29.066666666666666,7.2898266806356835,11.0,25.0,31.5,35.0,39.0,-0.8873438365574359,-0.07964497331132536
